2024/01/02 18:34:24.132 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:34:27.130 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:34:30.159 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:34:33.168 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:34:36.167 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:34:39.171 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:34:42.164 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:34:45.163 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:34:48.164 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:34:51.166 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:34:54.171 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:34:57.161 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:35:00.172 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:35:03.166 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:35:06.165 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:35:09.167 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:35:12.172 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:35:15.168 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:35:18.172 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:35:21.172 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:35:24.163 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:35:27.165 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:35:30.167 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:35:33.163 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:35:36.172 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:35:39.165 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:35:42.164 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:35:45.170 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:35:48.170 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:35:51.167 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:35:54.172 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:35:57.172 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:36:00.172 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:36:03.164 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:36:06.170 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:36:09.188 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:36:12.190 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:36:15.198 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:36:18.192 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:36:21.184 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:36:24.198 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:36:27.192 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:36:30.195 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:36:33.191 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:36:36.187 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:36:39.187 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:36:42.188 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:36:45.199 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:36:48.189 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:36:51.194 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:36:54.192 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:36:57.190 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:37:00.198 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:37:03.199 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:37:06.187 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:37:09.190 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:37:12.191 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:37:15.193 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:37:18.197 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:37:21.184 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:37:24.191 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:37:27.191 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:37:30.199 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:37:33.191 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:37:36.191 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:37:39.199 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:37:42.198 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:37:45.196 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:37:48.197 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:37:51.191 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:37:54.198 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:37:57.185 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:38:00.198 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:38:03.198 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:38:06.198 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:38:09.198 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:38:12.189 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:38:15.191 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
2024/01/02 18:38:18.198 Controller WARNING | Bluetooth: Cannot find Bluetooth Server
